№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
7380,Автобус,Остановка,"ТЦ ""МЕГА ДЫБЕНКО""","ТЦ ""МЕГА ДЫБЕНКО""",Мурманское шоссе,"233, 239, 56","59.8914045107431,30.5117283"
7381,Автобус,Остановка,РУБЕЖНОЕ ШОССЕ,РУБЕЖНОЕ ШОССЕ,"Вознесенское шоссе, Береговая улица",328,"59.7587413902492,30.6231632"
7382,Автобус,Остановка,"ЖИЛОЙ КОМПЛЕКС ""ЮТТЕРИ""","ЖИЛОЙ КОМПЛЕКС ""ЮТТЕРИ""","Межевой переулок, Рабочий переулок",328,"59.7555799066266,30.6240559"
7383,Автобус,Остановка,"ЖИЛОЙ КОМПЛЕКС ""ЮТТЕРИ""","ЖИЛОЙ КОМПЛЕКС ""ЮТТЕРИ""","Межевой переулок, Понтонная улица",328,"59.7567736684642,30.6241989"
7384,Автобус,Остановка,ПОНТОННЫЙ ПРОЕЗД ПО ТРЕБОВАНИЮ,ПОНТОННЫЙ ПРОЕЗД ПО ТРЕБОВАНИЮ,Понтонный проезд,328,"59.7520465344411,30.6281605"
7385,Автобус,Остановка,ПОНТОННЫЙ ПРОЕЗД ПО ТРЕБОВАНИЮ,ПОНТОННЫЙ ПРОЕЗД ПО ТРЕБОВАНИЮ,Понтонный проезд,328,"59.7508904522829,30.6290131"
7386,Автобус,Остановка,СЛЕДСТВЕННЫЙ ИЗОЛЯТОР ПО ТРЕБОВАНИЮ,СЛЕДСТВЕННЫЙ ИЗОЛЯТОР ПО ТРЕБОВАНИЮ,,328,"59.740280842789,30.6387024"
7387,Автобус,Остановка,СЛЕДСТВЕННЫЙ ИЗОЛЯТОР ПО ТРЕБОВАНИЮ,СЛЕДСТВЕННЫЙ ИЗОЛЯТОР ПО ТРЕБОВАНИЮ,,328,"59.7393790599689,30.6389866"
7388,Автобус,Остановка,СЛЕДСТВЕННЫЙ ИЗОЛЯТОР ОСТАНОВКА №2 ПО ТРЕБОВАНИЮ,СЛЕДСТВЕННЫЙ ИЗОЛЯТОР ОСТАНОВКА №2 ПО ТРЕБОВАНИЮ,,328,"59.7365530867772,30.6420841"
7389,Автобус,Остановка,СЛЕДСТВЕННЫЙ ИЗОЛЯТОР ОСТАНОВКА №2 ПО ТРЕБОВАНИЮ,СЛЕДСТВЕННЫЙ ИЗОЛЯТОР ОСТАНОВКА №2 ПО ТРЕБОВАНИЮ,,328,"59.7357923394215,30.6412849"
7390,Автобус,Остановка,ОКТЯБРЬСКАЯ УЛ,ОКТЯБРЬСКАЯ УЛ,"Строительство продолжения Оборонной улицы - 2-й этап, Октябрьская улица",328,"59.7313479897063,30.6282692"
7391,Автобус,Остановка,ОКТЯБРЬСКАЯ УЛ,ОКТЯБРЬСКАЯ УЛ,"Октябрьская улица, Строительство продолжения Оборонной улицы - 2-й этап",328,"59.7313411041207,30.6260147"
7392,Автобус,Остановка,МОСКОВСКАЯ УЛ,МОСКОВСКАЯ УЛ,"Оборонная улица, Московская улица",328,"59.7310278084727,30.6164532"
7393,Автобус,Остановка,МОСКОВСКАЯ УЛ,МОСКОВСКАЯ УЛ,"Онежская улица, Квартальная улица",328,"59.7308763238099,30.6181812"
7394,Автобус,Остановка,УЛ. КОРНЕЯ ЧУКОВСКОГО,УЛ. КОРНЕЯ ЧУКОВСКОГО,"улица Корнея Чуковского, Муринская дорога","177, 183, 293","60.0313848108688,30.458252"
7395,Автобус,Остановка,УЛ. ДАНИИЛА ХАРМСА,УЛ. ДАНИИЛА ХАРМСА,"Муринская дорога, улица Даниила Хармса","124, 177, 183, 193, 240, 293","60.0348340155308,30.4532833"
7396,Автобус,Остановка,"УЛ. НИКОЛАЯ РУБЦОВА, 5","УЛ. НИКОЛАЯ РУБЦОВА, 5","улица Николая Рубцова, улица Фёдора Абрамова",214Б,"60.0756307854402,30.3427601"
7397,Автобус,Остановка,"ТЦ ""МЕГА ДЫБЕНКО"" ГЛАВНЫЙ ВХОД","ТЦ ""МЕГА ДЫБЕНКО"" ГЛАВНЫЙ ВХОД",,"233, 239, 56","59.8934396706239,30.5184231"
7398,Автобус,Остановка,"КАНОНЕРСКИЙ ОСТРОВ, Д.11","КАНОНЕРСКИЙ ОСТРОВ, Д.11",Путиловская набережная,"70, 71","59.8991573229964,30.2165833"
7399,Автобус,Остановка,"НАБ. ГРЕБНОГО КАНАЛА, д.9","НАБ. ГРЕБНОГО КАНАЛА, д.9","набережная Гребного канала, Винновская набережная",29,"59.9766406647997,30.2298241"
7400,Автобус,Остановка,ПР. ЭНЕРГЕТИКОВ,ПР. ЭНЕРГЕТИКОВ,"Заневский проспект, проспект Энергетиков","183, 21, 295, 46","59.9333228063067,30.4346371"
7401,Автобус,Остановка,ПР. ЭНЕРГЕТИКОВ,ПР. ЭНЕРГЕТИКОВ,"Заневский проспект, проспект Энергетиков","183, 21, 295, 46","59.9335486559722,30.4364872"
7402,Троллейбус,КП,"Оборотная станция ""Тульская ул."" (посадки/высадки нет)","Оборотная станция ""Тульская ул."" (посадки/высадки нет)","Тульская улица, улица Бонч-Бруевича","11, 12, 15, 5","59.9430876888865,30.3912792"
7403,Троллейбус,Остановка,Светлановский пр,Светлановский пр,"Суздальский проспект, Светлановский проспект","21, 38, 6","60.0471131259181,30.406271"
7404,Троллейбус,Остановка,Наличная ул,Наличная ул,"Наличная улица, улица Кораблестроителей","10, 11, 12, 28, 9","59.9560574650506,30.2351818"
7405,Автобус,КП,"СТ. МЕТРО ""РЫБАЦКОЕ"", ПОСАДКИ НЕТ","СТ. МЕТРО ""РЫБАЦКОЕ"", ПОСАДКИ НЕТ","Тепловозная улица, улица Дмитрия Устинова","115, 328","59.832107515975,30.5011978"
7406,Троллейбус,КП,"Светлановский пр. (оборотная, посадки/высадки нет)","Светлановский пр. (оборотная, посадки/высадки нет)","Светлановский проспект, Суздальский проспект",13,"60.047229073532,30.4048805"
7407,Троллейбус,ДС,"Конечная станция ""Ж.-д. станция Ручьи""","Конечная станция ""Ж.-д. станция Ручьи""","улица Руставели, проспект Науки","16, 18, 8","60.0050211356683,30.4390221"
7408,Троллейбус,Остановка,Пл. Бехтерева,Пл. Бехтерева,"площадь Бехтерева, улица Бехтерева",14,"59.901236536708,30.399353"
7409,Троллейбус,КП,"Пл. Бехтерева (оборотная, посадки/высадки нет)","Пл. Бехтерева (оборотная, посадки/высадки нет)","площадь Бехтерева, улица 2-й Луч",16,"59.9021202487504,30.4000206"
7410,Автобус,Остановка,"УЛ. АКАДЕМИКА БАЙКОВА, Д.9","УЛ. АКАДЕМИКА БАЙКОВА, Д.9",улица Академика Байкова,78,"60.0280239634228,30.3734493"
7411,Троллейбус,Остановка,Кушелевская дорога,Кушелевская дорога,"проспект Маршала Блюхера, Кушелевская дорога",18,"59.9849236637113,30.3665943"
7412,Троллейбус,Остановка,Ул. Харченко,Ул. Харченко,"Кантемировская улица, улица Харченко","18, 31","59.9857265670268,30.3500042"
7413,Троллейбус,Остановка,Кушелевская дорога,Кушелевская дорога,"проспект Маршала Блюхера, Кушелевская дорога",18,"59.984599080247,30.3665085"
7414,Троллейбус,Остановка,Пионерский парк,Пионерский парк,"проспект Мечникова, Пискарёвский проспект","18, 38, 8","59.9837175638316,30.4213104"
7415,Троллейбус,КП,"Пл. Стачек (оборотная, посадки/высадки нет)","Пл. Стачек (оборотная, посадки/высадки нет)","площадь Стачек, Перекопская улица",20,"59.9018736338017,30.2729454"
7416,Троллейбус,ДС,"Конечная станция ""Ст. метро ""Старая Деревня"" (посадки/высадки нет)","Конечная станция ""Ст. метро ""Старая Деревня"" (посадки/высадки нет)","Торфяная дорога, Мебельная улица","23, 25, 40","59.9901507274139,30.2548695"
7417,Троллейбус,Остановка,"Ул. Генерала Хрулева (оборотная, посадки/высадки нет)","Ул. Генерала Хрулева (оборотная, посадки/высадки нет)","улица Генерала Хрулёва, Аэродромная улица",25,"59.9950217442076,30.2877254"
7418,Троллейбус,КП,"Пл. Конституции (оборотная, посадки/высадки нет)","Пл. Конституции (оборотная, посадки/высадки нет)","площадь Конституции, Ленинский проспект",27,"59.8511485311897,30.3030968"
7419,Троллейбус,Остановка,"Кушелевская дорога, 12","Кушелевская дорога, 12",Кушелевская дорога,31,"59.9887535082224,30.3695927"
7420,Троллейбус,Остановка,"Кушелевская дорога, 5","Кушелевская дорога, 5",Кушелевская дорога,31,"59.9891771212501,30.3718395"
7421,Троллейбус,КП,"Пр. Добролюбова (оборотная, посадки/высадки нет)","Пр. Добролюбова (оборотная, посадки/высадки нет)","проспект Добролюбова, Большой проспект П.С",31,"59.9522511977275,30.2905846"
7422,Троллейбус,Остановка,Ул. Белышева,Ул. Белышева,"улица Коллонтай, улица Джона Рида",33,"59.9150923527973,30.4499607"
7423,Троллейбус,Остановка,Ул. Белышева,Ул. Белышева,"улица Коллонтай, улица Белышева",33,"59.9153731078774,30.4526577"
7424,Троллейбус,ДС,"Конечная станция ""Тихорецкий пр.""(посадки/высадки нет)","Конечная станция ""Тихорецкий пр.""(посадки/высадки нет)","Тихорецкий проспект, Яшумов переулок","34, 50","60.0116515786306,30.3675747"
7425,Автобус,Остановка,"СТАРОРУССКИЙ ПР., ПОСАДКА","СТАРОРУССКИЙ ПР., ПОСАДКА","Старорусский проспект, Вилеровский переулок","190, 281, 34, 385","59.8096725755463,30.3577633"
7426,Автобус,Остановка,"СТАРОРУССКИЙ ПР., ВЫСАДКА","СТАРОРУССКИЙ ПР., ВЫСАДКА","Старорусский проспект, Вилеровский переулок","190, 281, 34, 385","59.8100813053335,30.3579502"
7427,Автобус,Остановка,ВИШЕРСКАЯ УЛ,ВИШЕРСКАЯ УЛ,"Школьная улица, Вишерская улица",34,"59.8119428515566,30.3743801"
7428,Троллейбус,КП,"Пл. Ленина (оборотная, посадки/высадки нет)","Пл. Ленина (оборотная, посадки/высадки нет)","площадь Ленина, Боткинская улица","38, 43","59.957264572632,30.3557625"
7429,Троллейбус,Остановка,Серафимовское кладбище,Серафимовское кладбище,"Богатырский проспект, Туполевская улица",40,"60.0001413457958,30.2621193"
7430,Троллейбус,Остановка,Полевая Сабировская ул,Полевая Сабировская ул,"Богатырский проспект, Полевая Сабировская улица",40,"59.9989836132937,30.2709007"
7431,Автобус,Остановка,"УЛ. ДИМИТРОВА, 41","УЛ. ДИМИТРОВА, 41",улица Димитрова,"157, 241, 253, 282","59.8517419938486,30.4176464"
7432,Автобус,Остановка,"УЛ. ДИМИТРОВА, 41","УЛ. ДИМИТРОВА, 41",улица Димитрова,"157, 241, 253","59.8519821202407,30.4165707"
7433,Автобус,Остановка,"ГАЛИЦКАЯ УЛ., 6","ГАЛИЦКАЯ УЛ., 6","Галицкая улица, Ростовская улица",254,"59.7329247514867,30.4600353"
7434,Автобус,Остановка,"КРОНШТАДТСКАЯ УЛ., 11","КРОНШТАДТСКАЯ УЛ., 11","Кронштадтская улица, дорога на Турухтанные острова",66,"59.8693729532996,30.2562809"
7435,Автобус,Остановка,2-Я ЖЕРНОВСКАЯ УЛ,2-Я ЖЕРНОВСКАЯ УЛ,"улица Коммуны, 2-я Жерновская улица","102, 164, 37, 92","59.9639182630672,30.4866657"
7436,Автобус,Остановка,2-Я ЖЕРНОВСКАЯ УЛ,2-Я ЖЕРНОВСКАЯ УЛ,"улица Коммуны, 2-я Жерновская улица","102, 124, 23, 290, 30, 37, 92","59.9634122739475,30.4870968"
7437,Автобус,Остановка,МОСКОВСКИЙ РЫНОК,МОСКОВСКИЙ РЫНОК,"улица Решетникова, Мариинская улица",159,"59.8790092720579,30.323885"
7438,Автобус,Остановка,"МЕНЬШИКОВСКИЙ ПР., ПО ТРЕБОВАНИЮ","МЕНЬШИКОВСКИЙ ПР., ПО ТРЕБОВАНИЮ","Меншиковский проспект, проспект Непокорённых",153,"59.9923540461258,30.4262257"
7439,Автобус,Остановка,МОСКОВСКИЙ РЫНОК,МОСКОВСКИЙ РЫНОК,"улица Решетникова, Мариинская улица","12, 159, 225, 95","59.8788447478969,30.3247223"
